"","clean_text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"1","Me",0,0,0,0,0,0,0,0
"2","",0,0,0,0,0,0,0,0
"3","Me",0,0,0,0,0,0,0,0
"4","Yes me",0,0,0,0,0,0,0,0
"5","Yes me",0,0,0,0,0,0,0,0
"6","Time travellers",0,1,0,0,0,0,0,0
"7","me",0,0,0,0,0,0,0,0
"8","me",0,0,0,0,0,0,0,0
"9"," You did not see i suppose",0,0,0,0,0,0,0,0
"10","Cari juga toh",0,0,0,0,0,0,0,0
"11","Me",0,0,0,0,0,0,0,0
"12","Me",0,0,0,0,0,0,0,0
"13","",0,0,0,0,0,0,0,0
"14","whatever you say habibi",0,0,0,0,0,0,0,0
"15","me",0,0,0,0,0,0,0,0
"16","What day is it",0,0,0,0,0,0,0,0
"17","Me",0,0,0,0,0,0,0,0
"18","Bro me too",0,0,0,0,0,0,0,0
"19","ME",0,0,0,0,0,0,0,0
"20","Thanks for like",0,0,0,0,0,0,0,0
"21","Me too",0,0,0,0,0,0,0,0
"22","Me",0,0,0,0,0,0,0,0
"23","Me too",0,0,0,0,0,0,0,0
"24","Me",0,0,0,0,0,0,0,0
"25","me",0,0,0,0,0,0,0,0
"26","today ",0,0,0,0,0,0,0,0
"27","Rip",0,0,0,0,0,0,0,0
"28","Me",0,0,0,0,0,0,0,0
"29","me",0,0,0,0,0,0,0,0
"30"," mu mu",0,0,0,0,0,0,0,0
"31","Slowly slowly India is also becoming like other countries",0,0,0,0,0,0,0,0
"32","One day",0,0,0,0,0,0,0,0
"33","Yeah",0,0,0,0,0,0,0,0
"34","Bro is a time traveler",0,1,0,0,0,0,0,0
"35","I will expect a reply then",0,1,0,0,0,0,1,1
"36","djfluffy mins ago",0,0,0,0,0,0,0,0
"37","Yes I am from Japan Japan is lives in ",0,0,0,0,0,0,0,0
"38","I will be back",0,0,0,0,0,0,0,0
"39","Me",0,0,0,0,0,0,0,0
"40","it is ",0,0,0,0,0,0,0,0
"41","I am at Bahrain here ",0,0,0,0,0,0,0,0
"42","",0,0,0,0,0,0,0,0
"43","Me",0,0,0,0,0,0,0,0
"44","No it is bro",0,0,0,0,0,0,0,0
"45","No it ",0,0,0,0,0,0,0,0
"46","it is ",0,0,0,0,0,0,0,0
"47","Me on ",0,0,0,0,0,0,0,0
"48","cent cent",0,0,0,0,0,0,0,0
"49","I am from India registered trademark India is going to become the most powerful country in the world by Jai shree Ram",2,2,1,1,1,0,0,1
"50","sanatanixyz mu cent cent",0,0,0,0,0,0,0,0
"51","",0,0,0,0,0,0,0,0
"52","Ben",0,0,0,0,0,0,0,0
"53","I am in oh my god laughing out loud",0,1,0,1,2,0,0,1
"54","I",0,0,0,0,0,0,0,0
"55"," mu mu ",0,0,0,0,0,0,0,0
"56","We have no timemechine",0,0,0,0,0,0,0,0
"57","bro xD",0,0,0,0,0,0,0,0
